longitude,latitude,crop,season,temperature,precipitation,soil type,Yield
143.25,-36.75,maize,major,14.849998474121094,48.708333333333336,2.000030518975173,1.5764012
143.25,-36.75,wheat,spring,14.849998474121094,48.708333333333336,2.000030518975173,2.8535058
143.75,-36.75,maize,major,15.358333587646484,48.57500203450521,2.000030518975173,2.1804006
143.75,-36.75,wheat,spring,15.358333587646484,48.57500203450521,2.000030518975173,2.7916028
143.25,-36.25,maize,major,16.258333841959637,39.88333384195963,3.000045778462759,1.1345865
143.25,-36.25,wheat,spring,16.258333841959637,39.88333384195963,3.000045778462759,2.0982676
143.75,-36.25,maize,major,16.375,40.75,3.9999542215372395,1.222209
143.75,-36.25,wheat,spring,16.375,40.75,3.9999542215372395,2.3636277
144.25,-36.25,maize,major,16.650000254313152,40.04166920979818,3.000045778462759,1.6044588
144.25,-36.25,wheat,spring,16.650000254313152,40.04166920979818,3.000045778462759,2.2326055
146.75,-35.75,maize,major,16.599999745686848,61.70000203450521,2.000030518975173,1.8866804
146.75,-35.75,rice,major,16.599999745686848,61.70000203450521,2.000030518975173,17.201221
146.75,-35.75,wheat,spring,16.599999745686848,61.70000203450521,2.000030518975173,3.5285125
147.25,-35.75,maize,major,15.40000025431315,73.84166971842448,2.000030518975173,5.227063
147.25,-35.75,rice,major,15.40000025431315,73.84166971842448,2.000030518975173,24.771547
147.25,-35.75,wheat,spring,15.40000025431315,73.84166971842448,2.000030518975173,4.1690726
147.75,-35.75,maize,major,14.266667683919271,82.625,2.000030518975173,13.8615055
147.75,-35.75,rice,major,14.266667683919271,82.625,2.000030518975173,22.847584
147.75,-35.75,wheat,spring,14.266667683919271,82.625,2.000030518975173,4.2346945
143.25,-35.25,maize,major,17.34166717529297,34.199999491373696,2.000030518975173,0.6152966
143.25,-35.25,rice,major,17.34166717529297,34.199999491373696,2.000030518975173,3.388317
143.25,-35.25,wheat,spring,17.34166717529297,34.199999491373696,2.000030518975173,1.2348018
143.75,-35.25,maize,major,17.541667938232422,34.59166717529297,3.9999542215372395,1.1199008
143.75,-35.25,rice,major,17.541667938232422,34.59166717529297,3.9999542215372395,6.4913464
143.75,-35.25,wheat,spring,17.541667938232422,34.59166717529297,3.9999542215372395,1.497155
144.25,-35.25,maize,major,17.541666666666668,35.308336893717446,3.9999542215372395,1.1464996
